"city_cn","year","city_code","city_invest","city_tech","city_edu","city_industry"
"唐山",2015,"130200",59226.2,0.0108397972518919,0.208060959507785,0.3555
"唐山",2016,"130200",64254.12,0.0133532293337766,0.18164500579885,0.355
"唐山",2017,"130200",66263.23,0.0107299327243782,0.20185342610072,NA
"唐山",2018,"130200",74928.8,0.0121448628564717,0.190047084699074,0.3802
"唐山",2019,"130200",79750.76,0.0123133622801839,0.195642398893753,0.3985
"唐山",2020,"130200",92625.11,0.0133225212903931,0.178960219318498,0.3857
"唐山",2021,"130200",92146.38,0.0146180457658782,0.193770173065941,0.3738
"唐山",2022,"130200",93690,NA,NA,NA
"秦皇岛",2003,"130300",3040.85,0.00164427709357581,0.189867964549386,0.5029
"秦皇岛",2004,"130300",3428.41,0.00145840199976082,0.208636073281784,0.4821
"秦皇岛",2005,"130300",4408.26,0.00136108124293939,0.183106259612636,0.508
"秦皇岛",2006,"130300",5541.72,0.00126314573814628,0.167027565448994,0.517
"秦皇岛",2007,"130300",7234.44,0.00732606808543578,0.155785382144299,0.4971
"秦皇岛",2008,"130300",9418.71,0.0054147542497858,0.169710077070002,0.4819
"秦皇岛",2009,"130300",10371.92,0.0057848498638632,0.172091570316778,0.4853
"秦皇岛",2010,"130300",13574.43,0.00574609762619867,0.15984685913147,0.4686
"秦皇岛",2011,"130300",16861.86,0.00640498735014998,0.151453635601292,0.4772
"秦皇岛",2012,"130300",19997.39,0.00600078310219484,0.174440264454511,0.4733
"秦皇岛",2013,"130300",20031.66,0.00693901553840271,0.166901794459371,0.4703
"秦皇岛",2014,"130300",21196.27,0.00896384127962137,0.169131172607256,0.4801
"秦皇岛",2015,"130300",22829.69,0.00402984008981287,0.185836075741721,0.502
"秦皇岛",2016,"130300",24557.12,0.0118906451570868,0.197176216103517,0.5075
"秦皇岛",2017,"130300",26269.87,0.0115721927820732,0.193781697435122,NA
"秦皇岛",2018,"130300",29124.87,0.0105064846641376,0.19109063834448,0.5443
"秦皇岛",2019,"130300",31794.13,0.00975022747909756,0.191005069174719,0.5431
"秦皇岛",2020,"130300",34028.21,0.00649461138273215,0.179643889584554,0.535
"秦皇岛",2021,"130300",31091.39,0.00903787189958377,0.188120248081543,0.5136
"秦皇岛",2022,"130300",31611,NA,NA,NA
"邯郸",2003,"130400",4831.8,0.00248354650440829,0.234372283621011,0.3374
"邯郸",2004,"130400",6367,0.00235589759698445,0.218201664834302,0.345
"邯郸",2005,"130400",8384.38,0.00226611866351477,0.203044232250924,0.3604
"邯郸",2006,"130400",10955.92,0.00191677193699844,0.176980116685774,0.3519
"邯郸",2007,"130400",13030.88,0.0121250445096571,0.238788170867969,0.3444
"邯郸",2008,"130400",15499.11,0.0115490502357877,0.252472561327715,0.3332
"邯郸",2009,"130400",19772.22,0.0101657780461678,0.250192947478836,0.3386
"邯郸",2010,"130400",26385.52,0.0081484086726356,0.219509412738502,0.3275
"邯郸",2011,"130400",32863.08,0.00812461887321578,0.213413958764668,0.3266
"邯郸",2012,"130400",37958.2,0.0128035575975679,0.251208961436528,0.3371
"邯郸",2013,"130400",36713.38,0.0147085340548868,0.232816210329858,0.3576
"邯郸",2014,"130400",40467.24,0.0167048704087553,0.223744194069079,0.368
"邯郸",2015,"130400",51563,0.00800961930066133,0.19510618078855,0.4003
"邯郸",2016,"130400",53164.04,0.00831389036649585,0.200607403049129,0.4026
"邯郸",2017,"130400",54700.74,0.00923205060845612,0.212636245871628,NA
"邯郸",2018,"130400",62599.98,0.00848243082505777,0.19067130692374,0.4583
"邯郸",2019,"130400",69720.8,0.00953804316645822,0.194857345297243,0.4559
"邯郸",2020,"130400",78923.57,0.00885666981359307,0.187468965228005,0.4644
"邯郸",2021,"130400",75040.67,0.00966142759652866,0.194782909054517,0.4403
"邯郸",2022,"130400",84440,NA,NA,NA
"邢台",2003,"130500",3570.79,0.00196035051067131,0.23898353025521,0.269
"邢台",2004,"130500",4116.11,0.0019435826544966,0.237889657953748,0.2522
"邢台",2005,"130500",5187.65,0.00173488959355392,0.23088103476526,0.2444
"邢台",2006,"130500",6805.45,0.00132246949136354,0.191765423300443,0.2512
"邢台",2007,"130500",8332.82,0.00684042136995639,0.240901639540996,0.2706
"邢台",2008,"130500",10972.01,0.00574188321009551,0.239959679220125,0.2769
"邢台",2009,"130500",13263.06,0.00723814866252584,0.236670119866758,0.2846
"邢台",2010,"130500",17233.85,0.00487412853192989,0.209301461948433,0.2874
"邢台",2011,"130500",21460.98,0.00503238901485393,0.234123511601055,0.2916
"邢台",2012,"130500",25024.76,0.00471532993723017,0.229342858832612,0.3016
"邢台",2013,"130500",25919.44,0.00493837829829657,0.210849462797036,0.3174
"邢台",2014,"130500",29462.28,0.00651680725320647,0.191572071136382,0.3604
"邢台",2015,"130500",37367.15,0.00369308336332848,0.20457085969896,0.3941
"邢台",2016,"130500",40938.74,0.00598455155190414,0.201492278462894,0.3949
"邢台",2017,"130500",41852.41,0.00592558469153867,0.214550129849153,NA
"邢台",2018,"130500",49483.61,0.00586052634397531,0.196832850311447,0.4689
"邢台",2019,"130500",55047.47,0.00552250630228782,0.200013370278416,0.4733
"邢台",2020,"130500",61096.99,0.00563039193911189,0.193709051787985,0.4841
"邢台",2021,"130500",57303.61,0.00602056310239442,0.189775129350489,0.4685
"邢台",2022,"130500",61560,NA,NA,NA
"保定",2003,"130600",5956.41,0.00151097724971921,0.23523565369073,0.3632
"保定",2004,"130600",6914.13,0.00144631356367323,0.23587638647234,0.3499
"保定",2005,"130600",8611.24,0.00139352752913634,0.214924912091638,0.3291
"保定",2006,"130600",10366.14,0.00115761508140928,0.190873362698169,0.3372
"保定",2007,"130600",13093.92,0.00473502205603822,0.222152724317851,0.3465
"保定",2008,"130600",16627.87,0.00541259944899738,0.237558388416556,0.3607
"保定",2009,"130600",20035.6,0.00449200423246621,0.2264773702809,0.3429
"保定",2010,"130600",26890.44,0.00806978242081573,0.205278530213712,0.3359
"保定",2011,"130600",33267.26,0.00468929512078843,0.197959495311607,0.3136
"保定",2012,"130600",38357.25,0.00495343122877683,0.20586746964394,0.3112
"保定",2013,"130600",46042.5,0.005342889721453,0.169798990063528,0.3154
"保定",2014,"130600",45759.43,0.00496072612792598,0.1902101927406,0.3448
