"IID","province","city","income","industry","education","gender","age","health","year","non_cognitive_score","cognitive_score","comprehensive_score"
"1102010003200001",110000,110100,36000,8,9,1,57,4,2014,3.57616119444239,2.38791145009522,3.15146574833671
"1102010003200001",110000,110100,50000,3,9,1,59,4,2016,3.38556881117271,3.5347113177089,3.04419214716677
"1102010003400002",110000,110100,65000,13,12,1,59,3,2014,3.39636890204183,2.33804631644808,3.04834672232215
"1102010003400003",110000,110100,30000,9,16,1,34,4,2016,2.79231854138224,2.9957455437849,2.96705841434838
"1102010003700001",110000,110100,250000,9,16,0,43,4,2016,3.00984122797706,2.71985910191116,2.92677557814693
"1102010003700002",110000,110100,2e+05,13,16,1,47,4,2014,3.45793507677147,2.40001016882767,3.52346839916834
"1102010003700002",110000,110100,220000,15,16,1,49,4,2016,3.61443118882729,3.56511781639156,3.41486773742802
"1103010000100001",110000,110100,70000,13,16,0,38,3,2014,3.35078468995495,2.99602323256257,3.2186872712876
"1103010000100002",110000,110100,60000,8,15,1,43,4,2014,3.39692257913379,2.40001016882767,3.25375184126619
"1103010000400003",110000,110100,90000,5,9,0,41,3,2016,3.1978402306407,2.40631213103395,3.08636420291887
"1103010002500001",110000,110100,250000,9,16,0,35,5,2014,3.37770091637877,3.57204876532415,3.14086050975246
"1103010002500003",110000,110100,1e+05,4,16,1,37,3,2014,3.17099239755439,2.99602323256257,2.90065207444317
"1103010003200001",110000,110100,1e+05,14,16,1,33,4,2014,3.58326775549565,2.99602323256257,3.28240537884475
"1103010003200001",110000,110100,150000,14,19,1,35,4,2016,3.77556808982341,2.9957455437849,3.34125646269022
"1103010003200002",110000,110100,1e+05,14,16,0,34,4,2014,3.39029418842916,3.03191783328561,3.2671380512324
"1103010003200002",110000,110100,150000,14,19,0,36,4,2016,2.59546550352947,3.03282450878959,2.69526028422141
"1103010003400001",110000,110100,140000,9,15,1,46,5,2014,2.93519412515809,2.71789410001182,2.92668802736433
"1103010003400002",110000,110100,140000,9,15,0,43,4,2014,3.21882362052614,2.71789410001182,3.06114401868743
"1103010004400001",110000,110100,50000,16,17,0,42,4,2014,3.63054732438199,3.57204876532415,3.58208960843808
"1103010004400001",110000,110100,60000,16,16,0,44,4,2016,3.58535385342078,3.56511781639156,3.40578519939987
"1103010004400002",110000,110100,50000,5,15,1,41,4,2014,3.20339533497534,2.40001016882767,3.19263912800397
"1103010004900001",110000,110100,50000,7,15,1,48,4,2014,2.59814438696104,2.99602323256257,2.54795830910876
"1103010004900002",110000,110100,50000,8,15,0,43,4,2014,2.95054892697212,2.71789410001182,2.61254249068475
"1103010005000001",110000,110100,82000,7,16,0,38,4,2014,3.16937254749825,2.99602323256257,3.21811736507951
"1103010007500001",110000,110100,90000,9,19,0,36,4,2014,3.3793207664349,2.40001016882767,3.2671380512324
"1103010009400001",110000,110100,1e+05,14,19,1,33,4,2014,3.44088694116454,2.40001016882767,3.2671380512324
"1103010009400001",110000,110100,150000,14,16,1,35,4,2016,3.55876217388489,3.03282450878959,3.07604826087091
"1103010009400002",110000,110100,1e+05,14,16,0,28,4,2014,2.98019033462944,2.99602323256257,2.97902846747398
"1103010009400002",110000,110100,80000,16,16,0,30,3,2016,2.60407869055547,3.56511781639156,2.857301521211
"1103010009700002",110000,110100,150000,13,19,1,44,4,2014,3.21826994343418,3.03191783328561,3.35143880689454
"1103010010800002",110000,110100,80000,8,15,0,47,4,2014,3.19514709421458,3.03191783328561,2.8841628668251
"1103010011100001",110000,110100,1e+05,10,16,1,42,4,2014,3.1572574457965,3.03191783328561,3.39518798974396
"1103010011100001",110000,110100,120000,14,16,1,44,4,2016,3.39442284636184,2.07693446976072,3.2004760351498
"1103010011100002",110000,110100,50000,8,16,0,41,4,2014,3.45793507677147,2.99602323256257,3.28004387519652
"1103010011100002",110000,110100,1e+05,8,15,0,43,4,2016,3.20795188074939,2.33911744934599,2.8075318804586
"1103010012810001",110000,110100,130000,8,9,0,31,4,2014,2.94892907691598,3.57204876532415,3.14607971888916
"1103010012910001",110000,110100,36000,4,12,0,49,4,2014,3.37608106632264,2.66802896636468,3.17229656003015
"1103020000200002",110000,110100,20000,11,9,0,50,3,2014,3.3793207664349,2.71789410001182,2.9837520061456
"1103020000700001",110000,110100,30000,1,15,0,42,4,2014,3.57122816053722,3.54404941471242,3.0380456526444
"1103020000700002",110000,110100,30000,1,15,1,43,4,2014,3.3831876273759,2.71789410001182,2.90044377274725
"1103020000800002",110000,110100,220000,11,15,1,28,3,2014,3.04945107302788,2.40001016882767,3.19247096152176
"1103020000900001",110000,110100,1e+05,11,12,1,50,4,2016,3.77556808982341,2.07906169786827,3.43170671456849
"1103020001200302",110000,110100,20000,4,16,1,40,5,2014,3.83725584320637,3.57204876532415,3.52547310038774
"1103020001200303",110000,110100,30000,15,16,0,42,5,2014,4.20508866876825,3.03191783328561,3.72407128158146
"1103020001500002",110000,110100,20000,1,9,1,55,5,2014,3.8311811295937,3.03191783328561,3.18921964906949
"1103020001900002",110000,110100,24000,11,9,1,51,4,2014,3.58602928525928,1.99602323256257,2.88083695346878
"1103020001900002",110000,110100,66000,7,9,1,53,4,2016,3.77113762234543,3.5347113177089,3.12893100340181
"1103020002200001",110000,110100,42000,8,8,0,50,3,2016,2.79330573417017,2.07906169786827,2.6652688822255
"1103020002500002",110000,110100,70000,12,9,0,50,3,2014,3.2143687569696,2.71789410001182,3.15824683243274
"1103020002500003",110000,110100,25000,11,15,1,27,5,2014,3.78666309047099,3.57204876532415,3.39174510323888
"1103020003100001",110000,110100,40000,1,12,1,36,3,2014,3.8311811295937,2.40001016882767,3.67851361204251
"1103020003100001",110000,110100,50000,1,12,1,38,3,2016,3.21680591593852,2.66636788251167,3.04434829131246
"1103020003600001",110000,110100,36000,16,15,0,32,5,2014,3.21826994343418,3.57204876532415,3.11663034737113
"1103020003600001",110000,110100,2e+05,16,16,0,34,3,2016,2.36065152111256,3.5347113177089,2.88753526239292
"1103020003600002",110000,110100,1e+05,11,15,1,31,5,2014,3.55966673592741,3.00391848267389,3.33606325709647
"1103020003600002",110000,110100,45000,11,16,1,33,2,2016,3.3666031258749,2.40631213103395,3.17154914692382
"1103020003800001",110000,110100,50000,11,9,1,41,3,2014,3.37390753917455,2.07201590262979,2.74842649513186
"1103020003800001",110000,110100,30000,11,9,1,43,3,2016,3.6412932904948,2.66636788251167,3.28339044627657
